geometry,OBJECTID,NAME,LABEL,Shape_Length
"LINESTRING (-21.298 64.067001, -22.066 63.922001, -22.537001 63.835999, -22.872 63.766998, -23.059 63.650002)",45,Eurasian:North American,Divergent Boundary,1.8229715435143259
"LINESTRING (-23.059 63.650002, -23.33 63.651001)",46,Eurasian:North American,Transform Boundary,0.2710017515056631
"LINESTRING (-23.33 63.651001, -23.487 63.568001, -23.74 63.473999, -24.01 63.355, -24.254999 63.23, -24.518999 63.110001, -24.721001 62.992001, -24.888 62.924, -25.035 62.799999, -25.156 62.709999, -25.311001 62.613998)",47,Eurasian:North American,Divergent Boundary,2.247280039868038
"LINESTRING (-25.311001 62.613998, -25.448999 62.619999)",48,Eurasian:North American,Transform Boundary,0.13812897823555798
"LINESTRING (-25.448999 62.619999, -25.643 62.502998, -25.875 62.375, -26.107 62.237, -26.309 62.105, -26.527 61.938999, -26.768 61.825001, -27.032 61.665001, -27.226 61.532001, -27.389 61.397999, -27.582001 61.251999, -27.854 61.066002, -28.024 60.956001, -28.191999 60.848, -28.408001 60.703999, -28.642 60.566002, -28.829 60.418999, -28.927 60.333)",49,Eurasian:North American,Divergent Boundary,4.171524546447122
"LINESTRING (-28.927 60.333, -29.028 60.34)",50,Eurasian:North American,Transform Boundary,0.10124211381806614
"LINESTRING (-30.791 58.941002, -30.646999 59.091999, -30.452999 59.237999, -30.306 59.389999, -30.163 59.528999, -30.042999 59.618, -29.85 59.750999, -29.636 59.868, -29.507 59.969002, -29.372 60.083, -29.225 60.167999, -29.118 60.272999, -29.028 60.34)",51,Eurasian:North American,Divergent Boundary,2.262469035188969
"LINESTRING (-30.976999 58.976002, -30.791 58.941002)",52,Eurasian:North American,Transform Boundary,0.18926327281769462
"LINESTRING (-31.556 58.446999, -31.427 58.574001, -31.302999 58.689999, -31.177999 58.805, -31.039 58.891998, -30.976999 58.976002)",53,Eurasian:North American,Divergent Boundary,0.7890656102771029
"LINESTRING (-31.745001 58.467999, -31.556 58.446999)",54,Eurasian:North American,Transform Boundary,0.19016415436252448
"LINESTRING (-145.608774 59.228894, -145.081959 59.497823, -144.68264 59.732588, -144.287924 59.913904, -143.332001 60.206001, -142.538031 60.428442, -142.399302 60.45405, -142.278607 60.455299, -141.598007 60.401001, -141.217248 60.335119, -141.06863 60.316989, -140.908686 60.322892, -140.224555 60.374061, -140.133202 60.373274, -140.042613 60.347497, -139.471155 60.120279, -139.36438 60.06069, -138.860001 59.762001, -138.352997 59.335999, -137.819 58.924999, -137.106995 58.438)",55,North American:Pacific,Other,9.347605237889333
"LINESTRING (-32.279999 57.998001, -32.123001 58.147999, -31.983 58.249001, -31.872 58.34, -31.799999 58.396999, -31.745001 58.467999)",56,Eurasian:North American,Divergent Boundary,0.7149409669099861
"LINESTRING (-32.472 58.006001, -32.279999 57.998001)",57,Eurasian:North American,Transform Boundary,0.1921679120757669
"LINESTRING (-32.806 57.641998, -32.708 57.772999, -32.618999 57.880001, -32.492001 57.957001, -32.472 58.006001)",58,Eurasian:North American,Divergent Boundary,0.5042213094995348
"LINESTRING (-32.917999 57.667, -32.806 57.641998)",59,Eurasian:North American,Transform Boundary,0.1147561194167116
"LINESTRING (-33.202999 57.285, -33.07 57.451, -33.009998 57.548, -32.964001 57.608002, -32.917999 57.667)",60,Eurasian:North American,Divergent Boundary,0.4771828382474481
"LINESTRING (-33.497002 57.264, -33.376999 57.264999, -33.202999 57.285)",61,Eurasian:North American,Transform Boundary,0.29515240241252644
"LINESTRING (-33.587002 56.875, -33.566002 57.000999, -33.535 57.088001, -33.508999 57.161999, -33.497002 57.264)",62,Eurasian:North American,Divergent Boundary,0.4012348008456179
"LINESTRING (-33.978001 56.902, -33.796001 56.882999, -33.681999 56.870998, -33.587002 56.875)",63,Eurasian:North American,Transform Boundary,0.39270219900555386
"LINESTRING (-34.071999 56.738998, -34.042999 56.779999, -34.004002 56.827, -33.978001 56.902)",64,Eurasian:North American,Divergent Boundary,0.19067221590777597
"LINESTRING (-34.217999 56.745998, -34.071999 56.738998)",65,Eurasian:North American,Transform Boundary,0.14616761844438284
"LINESTRING (-34.346001 56.501999, -34.320999 56.577, -34.247002 56.659, -34.217999 56.745998)",66,Eurasian:North American,Divergent Boundary,0.28121576143149773
"LINESTRING (-34.439999 56.499001, -34.346001 56.501999)",67,Eurasian:North American,Transform Boundary,0.09404576366361414
"LINESTRING (-34.638 55.812, -34.619999 55.938999, -34.557999 56.061001, -34.509998 56.209999, -34.493 56.337002, -34.459999 56.436001, -34.439999 56.499001)",68,Eurasian:North American,Divergent Boundary,0.7202474653275716
"LINESTRING (-34.876999 55.848, -34.638 55.812)",69,Eurasian:North American,Transform Boundary,0.24169441629560592
"LINESTRING (-35.339001 54.995998, -35.250999 55.140999, -35.173 55.326, -35.080002 55.484001, -34.972 55.691002, -34.901001 55.773998, -34.876999 55.848)",70,Eurasian:North American,Divergent Boundary,0.9742251310339234
"LINESTRING (-35.212002 54.971001, -35.339001 54.995998)",71,Eurasian:North American,Transform Boundary,0.12943572339158296
"LINESTRING (164.065994 55.209, 164.870558 54.981218, 165.406952 54.804549, 165.780512 54.649325)",72,North American:Pacific,Convergent Boundary,1.8054518202157692
"LINESTRING (-35.487999 54.331001, -35.411999 54.515999, -35.365002 54.678001, -35.289001 54.785999, -35.273998 54.912998, -35.212002 54.971001)",73,Eurasian:North American,Divergent Boundary,0.7135222217775339
"LINESTRING (-35.120998 54.307999, -35.313 54.327, -35.487999 54.331001)",74,Eurasian:North American,Transform Boundary,0.36798423199305436
"LINESTRING (165.79009 54.64377, 166.518054 54.325885)",75,North American:Pacific,Transform Boundary,0.7943434500602511
"LINESTRING (166.508475 54.320286, 167.418429 53.92079, 168.155971 53.574464)",76,North American:Pacific,Convergent Boundary,1.8085939832768114
"LINESTRING (-35.452 53.546001, -35.395 53.667999, -35.327 53.827999, -35.27 53.951, -35.201 54.111, -35.146999 54.220001, -35.120998 54.307999)",77,Eurasian:North American,Divergent Boundary,0.831720107948471
"LINESTRING (-35.245998 53.512001, -35.452 53.546001)",78,Eurasian:North American,Transform Boundary,0.20878830204814877
"LINESTRING (-35.325001 53.237999, -35.282001 53.388, -35.257 53.474998, -35.245998 53.512001)",79,Eurasian:North American,Divergent Boundary,0.28516555478505723
"LINESTRING (-35.182999 53.209999, -35.325001 53.237999)",80,Eurasian:North American,Transform Boundary,0.14473628161855215
"LINESTRING (168.155971 53.585865, 168.883935 53.253996)",81,North American:Pacific,Transform Boundary,0.8000421144652479
"LINESTRING (-137.106995 58.438, -136.895004 58.09, -136.522003 57.633999, -136.209 57.118, -135.903 56.620998, -135.429001 56.102001, -135.179993 55.819, -134.669006 55.317001, -134.151001 54.812, -133.839996 54.376999, -133.425995 53.924)",82,North American:Pacific,Transform Boundary,5.851773417314258
"LINESTRING (-35.138 52.705002, -35.155998 52.861, -35.160999 52.990002, -35.183998 53.133999, -35.182999 53.209999)",83,Eurasian:North American,Divergent Boundary,0.5079605933303244
"LINESTRING (-34.924999 52.708, -34.883999 52.703999)",84,Eurasian:North American,Transform Boundary,0.04119518064413837
"LINESTRING (-34.883999 52.703999, -35.011002 52.703999, -35.138 52.705002)",85,Eurasian:North American,Transform Boundary,0.25400557931772005
"LINESTRING (-31.257 52.419998, -31.582001 52.465, -31.865999 52.504002, -32.054001 52.515999, -32.359001 52.556, -32.648998 52.581001, -32.856998 52.595001, -33.02 52.615002, -33.334999 52.627998, -33.712002 52.647999, -34.174 52.662998, -34.571999 52.681999, -34.924999 52.708)",86,Eurasian:North American,Transform Boundary,3.6819799146443057
